symbol,periods_analyzed,first_revenue,latest_revenue,revenue_cagr_percent,recent_avg_growth_percent,latest_yoy_growth_percent,revenue_volatility,company_name,sector
TCS,5.0,1917540000000.0,2553240000000.0,10.01,10.14,5.99,6.46,Tata Consultancy Services Limited,Technology
JSWSTEEL,5.0,1438290000000.0,1665750000000.0,5.01,5.25,-3.48,8.63,JSW Steel Limited,Basic Materials
M&M,5.0,884404400000.0,1587497500000.0,21.53,21.85,14.8,11.06,Mahindra & Mahindra Limited,Consumer Cyclical
WIPRO,5.0,790934000000.0,890884000000.0,4.05,4.28,-0.75,8.77,Wipro Limited,Technology
TECHM,5.0,446460000000.0,529883000000.0,5.88,6.28,1.91,11.53,Tech Mahindra Limited,Technology
CIPLA,5.0,216233600000.0,271454000000.0,7.87,7.95,6.68,4.78,Cipla Limited,Healthcare
LTIM,5.0,261087000000.0,380081000000.0,13.33,13.71,7.01,11.59,LTIMindtree Limited,Technology
SBIN,5.0,2360910738000.0,3623999900000.0,15.35,15.53,8.23,7.86,State Bank of India,Financial Services
TATACONSUM,5.0,123470100000.0,176183000000.0,12.58,12.61,15.87,2.84,Tata Consumer Products Limited,Consumer Defensive
INFY,4.0,13561000000.0,18562000000.0,11.03,11.29,1.92,9.18,Infosys Limited,Technology
BRITANNIA,5.0,139446700000.0,175350200000.0,7.93,8.04,5.98,5.84,Britannia Industries Limited,Consumer Defensive
COALINDIA,5.0,1005625700000.0,1269567600000.0,8.08,8.8,-2.58,15.7,Coal India Limited,Energy
ADANIPOWER,5.0,276549000000.0,562030900000.0,26.66,27.22,11.62,14.4,Adani Power Limited,Utilities
AXISBANK,5.0,511976400000.0,848805500000.0,18.35,18.48,10.81,6.65,Axis Bank Limited,Financial Services
ITC,5.0,600813600000.0,746533200000.0,7.51,7.88,10.78,10.79,ITC Limited,Consumer Defensive
ASIANPAINT,5.0,289413500000.0,337973600000.0,5.31,5.74,-4.48,11.91,Asian Paints Limited,Basic Materials
ONGC,5.0,4893010620000.0,6632623100000.0,10.67,11.32,1.55,15.05,Oil and Natural Gas Corporation Limited,Energy
INDUSINDBK,5.0,220432085000.0,267217500000.0,6.62,7.47,-10.96,16.01,IndusInd Bank Limited,Financial Services
MARUTI,5.0,851688000000.0,1451099000000.0,19.43,19.91,7.55,13.06,Maruti Suzuki India Limited,Consumer Cyclical
TATASTEEL,5.0,2423268700000.0,2168403500000.0,-3.64,-3.61,-4.6,2.95,Tata Steel Limited,Basic Materials
POWERGRID,5.0,407899900000.0,457923200000.0,3.93,3.98,-0.11,4.0,Power Grid Corporation of India Limited,Utilities
NTPC,5.0,1313293100000.0,1881380600000.0,12.73,13.5,5.38,16.56,NTPC Limited,Utilities
SUNPHARMA,5.0,384264200000.0,520412500000.0,10.64,10.65,8.97,1.85,Sun Pharmaceutical Industries Limited,Healthcare
HCLTECH,5.0,856510000000.0,1170550000000.0,10.97,11.1,6.5,6.44,HCL Technologies Limited,Technology
TITAN,5.0,287360000000.0,571430000000.0,25.74,26.19,22.23,13.04,Titan Company Limited,Consumer Cyclical
ULTRACEMCO,5.0,517078500000.0,759551300000.0,13.67,13.81,7.12,6.72,UltraTech Cement Limited,Basic Materials
BAJFINANCE,5.0,201322100000.0,423563300000.0,28.13,28.21,23.39,5.34,Bajaj Finance Limited,Financial Services
BHARTIARTL,5.0,1165469000000.0,1729852000000.0,14.07,14.17,15.34,5.89,Bharti Airtel Limited,Communication Services
ADANIGREEN,5.0,51330000000.0,112120000000.0,29.74,30.55,21.61,18.18,Adani Green Energy Limited,Utilities
RELIANCE,5.0,6959630000000.0,9646930000000.0,11.5,11.95,7.06,12.48,Reliance Industries Limited,Energy
GRASIM,5.0,948717700000.0,1484778900000.0,16.1,16.21,13.36,6.1,Grasim Industries Limited,Basic Materials
HINDALCO,5.0,1938880000000.0,2384960000000.0,7.14,7.4,10.43,8.97,Hindalco Industries Limited,Basic Materials
EICHERMOT,5.0,101270700000.0,185382100000.0,22.32,22.9,14.19,14.8,Eicher Motors Limited,Consumer Cyclical
BAJAJFINSV,5.0,615160000000.0,1139988900000.0,22.82,22.94,18.52,6.38,Bajaj Finserv Ltd.,Financial Services
TATAMOTORS,5.0,2752352300000.0,4368210000000.0,16.64,17.21,1.3,13.79,Tata Motors Limited,Consumer Cyclical
BPCL,5.0,3455960300000.0,4402718600000.0,8.4,9.76,-1.74,21.81,Bharat Petroleum Corporation Limited,Energy
DRREDDY,5.0,214391000000.0,325535000000.0,14.93,14.94,16.61,1.55,Dr. Reddy's Laboratories Limited,Healthcare
HINDUNILVR,5.0,515480000000.0,622880000000.0,6.51,6.69,2.17,7.65,Hindustan Unilever Limited,Consumer Defensive
ICICIBANK,4.0,1185394470000.0,1612101952000.0,10.79,11.21,20.14,11.55,ICICI Bank Limited,Financial Services
ADANIPORTS,5.0,169790800000.0,304753300000.0,21.52,21.67,14.09,7.07,Adani Ports and Special Economic Zone Limited,Industrials
KOTAKBANK,5.0,459723509000.0,747546500000.0,17.59,18.44,4.3,17.65,Kotak Mahindra Bank Limited,Financial Services
HDFCBANK,4.0,936662200000.0,1986934300000.0,28.48,30.64,64.84,29.99,HDFC Bank Limited,Financial Services
NESTLEIND,4.0,132901600000.0,200775000000.0,10.2,14.81,19.58,4.63,Nestlé India Limited,Consumer Defensive
LT,5.0,1556724600000.0,743922800000.0,-21.81,-11.83,10.9,44.48,Larsen & Toubro Limited,Industrials
HEROMOTOCO,5.0,289776400000.0,409234200000.0,12.19,12.24,8.3,4.07,Hero MotoCorp Limited,Consumer Cyclical
APOLLOHOSP,5.0,145362000000.0,217940000000.0,14.45,14.46,14.35,1.39,Apollo Hospitals Enterprise Limited,Healthcare
DIVISLAB,5.0,87992300000.0,93600000000.0,2.08,2.92,19.31,16.11,Divi's Laboratories Limited,Healthcare
SHREECEM,5.0,145853900000.0,192828300000.0,9.75,10.36,-5.49,13.79,Shree Cement Limited,Basic Materials
ADANIENT,5.0,693043600000.0,978947500000.0,12.2,20.34,1.53,56.46,Adani Enterprises Limited,Energy
HDFCLIFE,5.0,674427348000.0,968268200000.0,12.81,14.69,-4.67,26.27,HDFC Life Insurance Company Limited,Financial Services
